grade_review;level_grade_review;id_date;id_reservation;id_room;id_client
9.0;2;20230101;15414f41-861f-4beb-b077-dcb02d11cf90;49bee996-2e84-4261-b7e5-4d0831159a65;370108f3-c94c-4c69-b9e8-2862406eb0d5
7.0;1;20221201;e0c5de35-c72c-44c5-8d14-833a0bf0b3d3;49bee996-2e84-4261-b7e5-4d0831159a65;7f1a8bc7-dad2-4c3f-8668-35ef34f926b3
7.0;1;20230101;a4435b12-5d64-45fa-93cd-642e757b9348;49bee996-2e84-4261-b7e5-4d0831159a65;b7ee2ab0-c3a1-40fa-9cb0-f49b451ed22b
10.0;2;20230101;b1a1c81a-2d92-48de-a148-6df9b556b978;49bee996-2e84-4261-b7e5-4d0831159a65;a14c2cfc-92b4-4d95-ac17-209df5a3757b
9.0;2;20230101;5f83f6f5-fd75-4660-812d-d8a6fd7c32c6;49bee996-2e84-4261-b7e5-4d0831159a65;5449be7c-960e-44c3-8918-f694d242ba9c
8.0;2;20230101;a2d61771-f22e-4a5d-9159-6c6dd64d9f11;49bee996-2e84-4261-b7e5-4d0831159a65;b0f3f61a-0a34-4fa6-96db-e3339773ea1b
6.0;1;20221201;48fa4dfe-5f36-46f6-9e06-3a7a7791efe7;49bee996-2e84-4261-b7e5-4d0831159a65;18740c55-1221-429d-9733-e964a5b5bac5
5.0;0;20221201;bbe37384-3307-41b1-9460-dd05312165ba;49bee996-2e84-4261-b7e5-4d0831159a65;1bc8d7b1-8df9-4e06-bd3b-161785e8dd94
7.0;1;20221201;5d6919ee-718d-4787-a6e2-73555ebf7d26;49bee996-2e84-4261-b7e5-4d0831159a65;467a5ad2-488e-4c8e-a097-3a660db16b4e
6.0;1;20230101;26507bfd-80de-4341-8f08-5885823ce889;49bee996-2e84-4261-b7e5-4d0831159a65;76c51496-d54c-4777-9e08-4f6d317b74d0
9.0;2;20221201;e5264512-5989-47e2-8382-c79cf81feec9;49bee996-2e84-4261-b7e5-4d0831159a65;a0c00c85-755f-4772-a5ed-272b208b7a8e
10.0;2;20230101;506e61c9-0e83-499f-ae75-cf0e68bc351a;49bee996-2e84-4261-b7e5-4d0831159a65;25db9a97-52b6-4e46-b3d1-7c793bfe84fb
6.0;1;20221101;3dfd5a9f-ddf6-4732-9d27-347581d76cce;49bee996-2e84-4261-b7e5-4d0831159a65;ca5c2ad4-6a0d-4e17-8962-09c00f6959d7
9.0;2;20230101;997e0c93-b9b4-4931-93a6-836c50199259;49bee996-2e84-4261-b7e5-4d0831159a65;fa424770-6e26-4bf0-8dcf-5803847e657f
8.0;2;20221201;fa2e63e7-bba9-43be-a4ef-17147c1c6964;49bee996-2e84-4261-b7e5-4d0831159a65;4feedbe4-79f4-4be7-9f5f-8bf5e8d8f74f
5.0;0;20221201;9d50c5b5-57a1-4ea6-af05-83432c06b77f;49bee996-2e84-4261-b7e5-4d0831159a65;2a23ac78-a988-4fa0-a3bc-f501451dc962
