Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Francesca;Italie;Chambre Standard Cars;1 nuit ·  Août 2022;Août 2022;Famille;Commentaire envoyé le 5 août 2022;Agréable;6,0;;;0;FrancescaItalieChambre Standard CarsAoût 2022FamilleCommentaire envoyé le 5 août 2022Agréable;Santa_Fe
Karol;Pologne;Chambre Standard Cars - Proche Commodités;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 5 août 2022;katastrofa;1,0;;;0;KarolPologneChambre Standard Cars - Proche CommoditésJuillet 2022FamilleCommentaire envoyé le 5 août 2022katastrofa;Santa_Fe
Cristina;Espagne;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 4 août 2022;Relax y comodidad;8,0;;;1 ;CristinaEspagneChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 4 août 2022Relax y comodidad;Santa_Fe
Tessa;Belgique;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 4 août 2022;Bien ;7,0;;;0;TessaBelgiqueChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 4 août 2022Bien ;Santa_Fe
Carol;Espagne;Chambre Standard Cars;1 nuit ·  Août 2022;Août 2022;Famille;Commentaire envoyé le 4 août 2022;Exceptionnel;10;;;0;CarolEspagneChambre Standard CarsAoût 2022FamilleCommentaire envoyé le 4 août 2022Exceptionnel;Santa_Fe
Estelle;Belgique;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 3 août 2022;Très bien;8,0;;;0;EstelleBelgiqueChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 3 août 2022Très bien;Santa_Fe
Romain;France;Chambre Standard Cars - Côté Rivière;1 nuit ·  Août 2022;Août 2022;Famille;Commentaire envoyé le 3 août 2022;Très bien;8,0;propreté , rapidité d’accueil , proximité avec le parc;;1 ;RomainFranceChambre Standard Cars - Côté RivièreAoût 2022FamilleCommentaire envoyé le 3 août 2022Très bien;Santa_Fe
Martina;Suisse;Chambre Standard Cars - Proche Commodités;1 nuit ·  Août 2022;Août 2022;Couple;Commentaire envoyé le 3 août 2022;Passable;5,0;;;0;MartinaSuisseChambre Standard Cars - Proche CommoditésAoût 2022CoupleCommentaire envoyé le 3 août 2022Passable;Santa_Fe
Maurine;France;Chambre Standard Cars;1 nuit ·  Juin 2022;Juin 2022;Famille;Commentaire envoyé le 1 août 2022;Fabuleux ;9,0;La gentillesse du personnel;La fenêtre ne s'ouvrait pas en grand;0;MaurineFranceChambre Standard CarsJuin 2022FamilleCommentaire envoyé le 1 août 2022Fabuleux ;Santa_Fe
Shin;Pays-Bas;Chambre Standard Cars - Côté Rivière;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 1 août 2022;Très bien;8,0;;;0;ShinPays-BasChambre Standard Cars - Côté RivièreJuillet 2022FamilleCommentaire envoyé le 1 août 2022Très bien;Santa_Fe
Cinzia;Italie;Chambre Standard Cars - Côté Rivière;5 nuits ·  Mai 2022;Mai 2022;Famille;Commentaire envoyé le 31 juillet 2022;Exceptionnel;10;;;0;CinziaItalieChambre Standard Cars - Côté RivièreMai 2022FamilleCommentaire envoyé le 31 juillet 2022Exceptionnel;Santa_Fe
Vanhamme;Belgique;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 30 juillet 2022;Fabuleux ;9,0;;;0;VanhammeBelgiqueChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 30 juillet 2022Fabuleux ;Santa_Fe
Pascale;France;Chambre Standard Cars;1 nuit ·  Mai 2022;Mai 2022;Famille;Commentaire envoyé le 30 juillet 2022;sublime;10;;;0;PascaleFranceChambre Standard CarsMai 2022FamilleCommentaire envoyé le 30 juillet 2022sublime;Santa_Fe
Pascale;France;Chambre Standard Cars;1 nuit ·  Juin 2022;Juin 2022;Famille;Commentaire envoyé le 30 juillet 2022;magnifique;10;;;0;PascaleFranceChambre Standard CarsJuin 2022FamilleCommentaire envoyé le 30 juillet 2022magnifique;Santa_Fe
Romane;France;Chambre Standard Cars - Côté Rivière;1 nuit ·  Juillet 2022;Juillet 2022;Groupe;Commentaire envoyé le 29 juillet 2022;Exceptionnel;10;"la proximité 
le rapport qualité prix";;0;RomaneFranceChambre Standard Cars - Côté RivièreJuillet 2022GroupeCommentaire envoyé le 29 juillet 2022Exceptionnel;Santa_Fe
Ravit;Israël;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 29 juillet 2022;זוועה;1,0;;;0;RavitIsraëlChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 29 juillet 2022זוועה;Santa_Fe
Nadine;Allemagne;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Voyageur individuel;Commentaire envoyé le 26 juillet 2022;Décevant;4,0;;;0;NadineAllemagneChambre Standard CarsJuillet 2022Voyageur individuelCommentaire envoyé le 26 juillet 2022Décevant;Santa_Fe
Ehud;Israël;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 26 juillet 2022;Agréable;6,0;;;0;EhudIsraëlChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 26 juillet 2022Agréable;Santa_Fe
Marie-claire;Belgique;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 26 juillet 2022;2 overnachtingen in 2 snikhete kamers;6,0;;;0;Marie-claireBelgiqueChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 26 juillet 20222 overnachtingen in 2 snikhete kamers;Santa_Fe
Dewaldt;Italie;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 25 juillet 2022;Bien ;7,0;;;0;DewaldtItalieChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 25 juillet 2022Bien ;Santa_Fe
Edith;Pays-Bas;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Groupe;Commentaire envoyé le 24 juillet 2022;Très bien;8,0;;;0;EdithPays-BasChambre Standard CarsJuillet 2022GroupeCommentaire envoyé le 24 juillet 2022Très bien;Santa_Fe
Blandine;France;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Voyageur individuel;Commentaire envoyé le 24 juillet 2022;très bien;10;l’établissement est sympathique et très accueillant. navette bien pour aller à l’hôtel ou au parc Disneyland Paris;les navettes qu’il ont eu des difficultés à avancer car à cause d’une navette j’ai rater mon train.;0;BlandineFranceChambre Standard CarsJuillet 2022Voyageur individuelCommentaire envoyé le 24 juillet 2022très bien;Santa_Fe
Ryota;Pologne;Chambre Standard Cars - Côté Rivière;2 nuits ·  Juin 2022;Juin 2022;Famille;Commentaire envoyé le 24 juillet 2022;Exceptionnel;10;;;0;RyotaPologneChambre Standard Cars - Côté RivièreJuin 2022FamilleCommentaire envoyé le 24 juillet 2022Exceptionnel;Santa_Fe
Emma;Irlande;Chambre Standard Cars;1 nuit ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 23 juillet 2022;Exceptionnel;10;;;0;EmmaIrlandeChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 23 juillet 2022Exceptionnel;Santa_Fe
Mathilde;Allemagne;Chambre Standard Cars;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 22 juillet 2022;;7,0;;;0;MathildeAllemagneChambre Standard CarsJuillet 2022FamilleCommentaire envoyé le 22 juillet 2022nan;Santa_Fe
Benjamin;Pays-Bas;Chambre Standard Cars - Proche Commodités;2 nuits ·  Juillet 2022;Juillet 2022;Famille;Commentaire envoyé le 21 juillet 2022;Très bien;8,0;;;0;BenjaminPays-BasChambre Standard Cars - Proche CommoditésJuillet 2022FamilleCommentaire envoyé le 21 juillet 2022Très bien;Santa_Fe
