Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Anonyme;États-Unis;;1;Avril 2022;Famille;Commentaire envoyé le 14 avril 2022;expensive;7,0;;;0;AnonymeÉtats-UnisnanAvril 2022FamilleCommentaire envoyé le 14 avril 2022expensive;Cheyenne
Schneider;Allemagne;Chambre Standard Woody's Roundup;1;Mars 2022;Couple;Commentaire envoyé le 14 avril 2022;Bien ;7,0;;;0;SchneiderAllemagneChambre Standard Woody's RoundupMars 2022CoupleCommentaire envoyé le 14 avril 2022Bien ;Cheyenne
Benoit;France;Chambre Standard Woody's Roundup;1;Avril 2022;Famille;Commentaire envoyé le 14 avril 2022;Passable;5,0;Buffet;;0;BenoitFranceChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 14 avril 2022Passable;Cheyenne
Myriam;France;Chambre Standard Woody's Roundup;1;Février 2022;Famille;Commentaire envoyé le 13 avril 2022;Très bon séjour;9,0;L ambiance de l hôtel;Du mal à comprendre comment avoir un petit dej;0;MyriamFranceChambre Standard Woody's RoundupFévrier 2022FamilleCommentaire envoyé le 13 avril 2022Très bon séjour;Cheyenne
B3rl1go;France;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 13 avril 2022;Petit séjour au Cheyenne;8,0;L'originalité du thème de l'hôtel, l'accès au parc a pied, les bâtiments d'un étage simples d'accès. Le bar et le restaurant de l'hôtel. Les échantillons de bain.;Le bruit de la soufflerie/ventilation de certaines chambres a l'étage, même quand la climatisation de la chambre est désactivée.;0;B3rl1goFranceChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 13 avril 2022Petit séjour au Cheyenne;Cheyenne
Nuno;Portugal;Chambre Standard Woody's Roundup;2;Avril 2022;Famille;Commentaire envoyé le 13 avril 2022;Exceptionnel;10;;;0;NunoPortugalChambre Standard Woody's RoundupAvril 2022FamilleCommentaire envoyé le 13 avril 2022Exceptionnel;Cheyenne
Landj54;France;Chambre Standard Woody's Roundup;1;Mars 2022;Couple;Commentaire envoyé le 13 avril 2022;Exceptionnel;10;;;0;Landj54FranceChambre Standard Woody's RoundupMars 2022CoupleCommentaire envoyé le 13 avril 2022Exceptionnel;Cheyenne
Thanard;Thaïlande;Chambre Standard Woody's Roundup;1;Mars 2022;Famille;Commentaire envoyé le 12 avril 2022;conveniently located and clean;8,0;;;1;ThanardThaïlandeChambre Standard Woody's RoundupMars 2022FamilleCommentaire envoyé le 12 avril 2022conveniently located and clean;Cheyenne
John;Israël;Chambre Woody's Roundup à Proximité des Installations;3;Avril 2022;Couple;Commentaire envoyé le 12 avril 2022;Très bien;8,0;;;0;JohnIsraëlChambre Woody's Roundup à Proximité des InstallationsAvril 2022CoupleCommentaire envoyé le 12 avril 2022Très bien;Cheyenne
Anonyme;France;;1;Mars 2022;Famille;Commentaire envoyé le 12 avril 2022;Exceptionnel;10;;;0;AnonymeFrancenanMars 2022FamilleCommentaire envoyé le 12 avril 2022Exceptionnel;Cheyenne
