Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;UniqueID;hotel
Shafeeqa;Arabie saoudite;Chambre Supérieure - Côté Lac;3;Décembre 2022;Famille;Commentaire envoyé le 28 décembre 2022;excellent stay and was very near the attractions and am coming back;10;;;Na;ShafeeqaArabie saouditeChambre Supérieure - Côté LacDécembre 2022FamilleCommentaire envoyé le 28 décembre 2022excellent stay and was very near the attractions and am coming back;Davy_Crockett_Ranch
Tamader;Qatar;Chambre Club Compass - Côté Lac (2 Adultes);1;Décembre 2022;Famille;Commentaire envoyé le 22 décembre 2022;شكرت;9,0;;;Na;TamaderQatarChambre Club Compass - Côté Lac (2 Adultes)Décembre 2022FamilleCommentaire envoyé le 22 décembre 2022شكرت;Davy_Crockett_Ranch
Justine;France;Chambre Supérieure;1;Novembre 2022;Couple;Commentaire envoyé le 18 décembre 2022;Bien ;7,0;empty;empty;0;JustineFranceChambre SupérieureNovembre 2022CoupleCommentaire envoyé le 18 décembre 2022Bien ;Davy_Crockett_Ranch
