Names;Country;room_type;nuitee;reservation_date;traveler_infos;date_review;review_title;grade_review;positive_review;negative_review;usefulness_review;hotel
Alexandrine;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Septembre 2020;Famille;Commentaire envoyé le 7 septembre 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Claudiu;Belgique;Chambre Supérieure – Côté Lac (2 Adultes + 2 Enfants);3;Août 2020;Famille;Commentaire envoyé le 6 septembre 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Christopher;Belgique;Chambre Supérieure (2 Adultes + 2 Enfants);1;Août 2020;Couple;Commentaire envoyé le 24 août 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Alexandra;Belgique;Chambre Club Compass (4 Adultes);1;Août 2020;Famille;Commentaire envoyé le 21 août 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Noëlie;Suisse;Chambre Supérieure – Côté Lac (4 Adultes);2;Août 2020;Famille;Commentaire envoyé le 12 août 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Véronique;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Août 2020;Famille;Commentaire envoyé le 5 août 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Sonia;France;Chambre Supérieure (3 Adultes + 1 Enfant);2;Juillet 2020;Famille;Commentaire envoyé le 4 août 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Sarah;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Août 2020;Famille;Commentaire envoyé le 2 août 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Olivia;France;Chambre Supérieure – Côté Lac (2 Adultes + 2 Enfants);1;Mars 2020;Couple;Commentaire envoyé le 13 mars 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Beverly;France;Chambre Supérieure (4 Adultes);1;Mars 2020;Groupe;Commentaire envoyé le 11 mars 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Fizan;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Mars 2020;Famille;Commentaire envoyé le 11 mars 2020;Excellent;9,2;;;0;Disney's Newport Bay Club
Vanessa;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Mars 2020;Groupe;Commentaire envoyé le 9 mars 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Eric;France;Chambre Supérieure (3 Adultes + 1 Enfant);2;Mars 2020;Famille;Commentaire envoyé le 9 mars 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Joanna;Belgique;Chambre Supérieure (2 Adultes + 2 Enfants);1;Mars 2020;Famille;Commentaire envoyé le 8 mars 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Gaetan;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Mars 2020;Famille;Commentaire envoyé le 6 mars 2020;Fabuleux ;9,2;;;0;Disney's Newport Bay Club
Emmanuelle;France;Chambre Supérieure (3 Adultes + 1 Enfant);1;Mars 2020;Famille;Commentaire envoyé le 6 mars 2020;Fabuleux ;9,0;;;0;Disney's Newport Bay Club
Aurélie;France;Chambre Supérieure (2 Adultes + 2 Enfants);3;Février 2020;Famille;Commentaire envoyé le 25 février 2020;Fabuleux ;9,2;;;0;Disney's Newport Bay Club
Bea;Saint-Martin (Antilles françaises);Chambre Supérieure (4 Adultes);1;Février 2020;Famille;Commentaire envoyé le 21 février 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Coralie;France;Chambre Supérieure – Côté Lac (2 Adultes + 2 Enfants);1;Février 2020;Couple;Commentaire envoyé le 18 février 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Romain;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Février 2020;Couple;Commentaire envoyé le 18 février 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Am;France;Chambre Club Compass (1 Adulte + 3 Enfants);1;Février 2020;Famille;Commentaire envoyé le 15 février 2020;Superbe;9,2;;;0;Disney's Newport Bay Club
Alexiane;France;Chambre Club Compass (4 Adultes);1;Février 2020;Famille;Commentaire envoyé le 14 février 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Marion;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Février 2020;Couple;Commentaire envoyé le 12 février 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Alexis;France;Chambre Supérieure (2 Adultes + 2 Enfants);1;Février 2020;Couple;Commentaire envoyé le 12 février 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Dany;Luxembourg;Chambre Supérieure (2 Adultes + 2 Enfants);1;Février 2020;Famille;Commentaire envoyé le 8 février 2020;Décevant;4,0;;;0;Disney's Newport Bay Club
Maeva;France;Chambre Supérieure – Côté Lac (2 Adultes + 2 Enfants);1;Février 2020;Couple;Commentaire envoyé le 7 février 2020;Excellent !;10;;;0;Disney's Newport Bay Club
Lindsey;La Réunion;Chambre Club Compass (3 Adultes + 1 Enfant);1;Janvier 2020;Famille;Commentaire envoyé le 6 février 2020;Exceptionnel;9,6;;;0;Disney's Newport Bay Club
Caroline;France;Chambre Supérieure (3 Adultes + 1 Enfant);1;Janvier 2020;Famille;Commentaire envoyé le 3 février 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
Louis;Belgique;Chambre Supérieure (3 Adultes + 1 Enfant);1;Janvier 2020;Couple;Commentaire envoyé le 29 janvier 2020;Fabuleux ;9,2;;;0;Disney's Newport Bay Club
Tristan;France;Chambre Club Compass (2 Adultes + 2 Enfants);1;Janvier 2020;Couple;Commentaire envoyé le 26 janvier 2020;Exceptionnel;10;;;0;Disney's Newport Bay Club
